option,rooms,area,floor,total_floors,house_type,condition,price
For rent,1,27,3,5,Brick-Panel,All amenities,€ 250
For rent,2,50,7,9,Panel,All amenities,€ 300
For sale,2,33,1,2,Wood,Partial amenities,"€ 13,500"
For sale,2,50,5,5,Panel,All amenities,"€ 34,000"
For rent,3,76,3,12,Masonry,All amenities,€ 490
For rent,2,40,3,6,Masonry,All amenities,€ 440
For sale,2,37,5,5,Brick,All amenities,"€ 31,000"
For rent,2,49,3,5,Panel,All amenities,€ 240
For rent,2,48,5,5,Brick,All amenities,€ 400
For rent,2,45,2,5,Panel,All amenities,€ 360
For sale,2,46,4,5,Panel,All amenities,"€ 39,999"
For sale,3,58,4,5,Brick,All amenities,"€ 50,000"
For sale,2,50,1,9,Panel,All amenities,"€ 53,000"
For sale,3,60,2,5,Panel,All amenities,"€ 48,000"
For sale,1,46,9,9,Panel,All amenities,"€ 38,500"
For sale,2,36,1,5,Panel,All amenities,"€ 46,000"
For sale,2,36,5,5,Masonry,All amenities,"€ 54,900"
For rent,1,44,4,9,Panel,All amenities,€ 240
For sale,3,60,3,5,Panel,All amenities,"€ 56,500"
For sale,3,62,6,9,Panel,All amenities,"€ 52,500"
For rent,2,50,2,5,Panel,All amenities,€ 260
For sale,2,44,4,5,Brick,Without amenities,"€ 39,000"
For rent,2,40,4,6,Masonry,All amenities,€ 395
For rent,2,45,2,4,Masonry,All amenities,€ 350
For rent,1,26,2,3,Wood,All amenities,€ 345
For rent,2,56,8,9,Brick,All amenities,€ 250
For rent,1,34,3,5,Brick-Panel,All amenities,€ 210
For sale,4,78,1,9,Panel,All amenities,"€ 91,000"
For sale,2,42,3,5,Brick,All amenities,"€ 45,900"
For sale,1,35,1,9,Brick-Panel,All amenities,"€ 37,000"
For rent,1,29,4,5,Panel,All amenities,€ 240
For rent,2,60,3,8,Masonry,All amenities,€ 580
For sale,2,62,3,5,Masonry,All amenities,"€ 120,000"
For rent,1,34,5,5,Brick-Panel,All amenities,€ 320
For sale,3,55,3,5,Brick,All amenities,"€ 43,000"
For rent,1,43,9,9,Brick,All amenities,€ 25
For rent,2,86,2,4,Masonry,All amenities,"€ 1,200"
For rent,1,40,4,5,Masonry,All amenities,€ 600
For rent,2,36,3,3,Brick,All amenities,€ 250
For sale,3,85,3,6,Brick,All amenities,"€ 170,000"
For sale,3,79,3,5,Brick-Panel,All amenities,"€ 85,000"
For sale,2,45,2,5,Panel,All amenities,"€ 40,000"
For rent,1,46,4,7,Masonry,All amenities,€ 39
